ID,Parents,Name FR
6206e5a0be09f310a84df8da, #Sport,Badminton
6206e5d4be09f310a84e1409, #Skills,Ingéniosité
6206e607be09f310a84e28b3, #Hobbies,Volleyball
6206e60cbe09f310a84e2b29, #TopManagement,Mentorat
6206e625be09f310a84e3797, #Skills,Adaptabilité
6206e6e8be09f310a84e8f99, #Hobbies,Jeux De Stratégie
6206e70bbe09f310a84ea0d5, #ProgrammingLanguages #IT,Javascript
6206e763be09f310a84ece2c, #Brand-andMarketing #Communication,Relations Presse
6206e866be09f310a84f3453, #Skills,Sociologie
6206e8a9be09f310a84f5363, #Design #IT,Web Design
6206e8f5be09f310a84f73ff, #Langues,Français
6206e93fbe09f310a84f98f3, #Software #Brand-andMarketing,PowerPoint
6206e974be09f310a84fb342, #Software,Google Docs
6206ea4cbe09f310a8502794,,Gestion de projet
6206eabebe09f310a8506488, #BI,Analyse De Data
6206ead1be09f310a8506e55, #Management51831,Méthodes Agiles
6206eb0abe09f310a8508c18, #Brand-andMarketing,Web Marketing
6206eb16be09f310a8509202, #Brand-andMarketing,Content Marketing
6206eb4cbe09f310a850ad42, #Brand-andMarketing,Email Marketing
6206eb74be09f310a850c071, #Hobbies,Rugby
6206eb7bbe09f310a850c3cf, #TopManagement #WingzyRole,Stratégie
6206eb83be09f310a850c73f, #ProgrammingLanguages #IT,Python
6206eb9dbe09f310a850d56d, #Design #IT,Design Produit
6206eba5be09f310a850d97e, #ProgrammingLanguages #IT,Java
6206ebbcbe09f310a850e534, #Hidden,Compétences
6206eeb7be09f310a8531cf1, #Hobbies,Cinéma Engagé
6206eef3be09f310a85338f7, #Sport,Course À Pied
6206f005be09f310a85399d0, #Sales26688 #Brand-andMarketing,Marketing de réseau
6206f0fdbe09f310a8541921, #Management51831,Entreprise Libérée
6206f104be09f310a8541c68, #Hobbies,Musique
6206f10ebe09f310a854210d, #Hobbies,Astronomie
6206f155be09f310a8544220, #WingzyRole,Freelance
6206f15bbe09f310a85444d4, #Administrative,Gestion des contrats
6206f1bcbe09f310a8547546, #Management51831,Organisation Agile
6206f239be09f310a854b2db, #Skills,Psychologie
6206f248be09f310a854b857, #TechnologicalPlateform,OAuth
6206f253be09f310a854bd07, #TopManagement,Réinventer Les Organisations
6206f26cbe09f310a854c7f8, #IT,Data Centres
6206f274be09f310a854cbf5, #ProgrammingLanguages #IT,NodeJs
6206f30cbe09f310a8551412, #Skills,Esprit d'équipe
6206f320be09f310a8551dbd, #Brand-andMarketing,Transformation Numérique
6206f339be09f310a85528e6, #Sales26688 #TopManagement #Strategie34086,Stratégies commerciales
6206f34abe09f310a855322a, #ProgrammingLanguages #IT,ReactJs
6206f360be09f310a8553c8d, #TopManagement #Mentoring #Strategie34086,Management du Changement
6206f379be09f310a855480b, #Brand-andMarketing,Marketing Digital
6206f383be09f310a8554cd4, #Sales26688,Design Thinking
6206f3ccbe09f310a8557155,,Logistique
6206f414be09f310a8559cd3, #Tech,Support Technique
6206f508be09f310a85640b4, #Hidden,Loisirs
62070731be09f310a85caa56, #Outils,Logiciels
620714cabe09f310a86095be,,Pays
6207150fbe09f310a860ce1c, #Skills,Langages Informatique
620715d7be09f310a861414e, #Tech,IT
62071a7ebe09f310a862b6bb, #SupplyChain,Achats
62071b90be09f310a8631587, #Skills #MarketStudies,Business Intelligence
62073985be09f310a8675bf9,,Vente
62073d26be09f310a867d647, #WingzyRole,Top Management
62074af8be09f310a869e207, #ProgrammingLanguages #IT,SQL
62074d5abe09f310a86a8de3, #Brand-andMarketing,Marque employeur
62074e16be09f310a86ac182, #IT,Développement logiciels
62074eadbe09f310a86aec8c, #Brand-andMarketing,Publicité
6207506dbe09f310a86b605d, #Skills,Gourmand·e
62075083be09f310a86b675f, #Skills,Observation critique
620750f2be09f310a86b82a0, #BI #Sales26688 #Brand-andMarketing,Etudes de marché
620751fdbe09f310a86bbac0, #Brand-andMarketing,Automation Marketing
620752fabe09f310a86c0fd5, #Hidden,Caché
62076101be09f310a86e284e, #RessourcesHumaines,Direction RH
620771a1be09f310a8733486, #Organization,Transport
620771aabe09f310a8733817, #Design #MethodologicalPlatform,Design de Service
620771aebe09f310a87338e0, #Sales26688,Avant-Vente
620771d5be09f310a873425e, #IT #SoftwareDevelopment,Run (IT)
620771d6be09f310a873429a, #IT #SoftwareDevelopment,Livraison (IT)
620771debe09f310a87344ec,,Consommation grand public
620771e9be09f310a8734983, #Operations86854 #AmeliorationContinue #RituelsEtProcessus,Conception des process
6207720cbe09f310a87350f3, #IT #SoftwareDevelopment,Build (IT)
62077210be09f310a87351c1, #IT #SoftwareDevelopment,Devops
62077236be09f310a8735c00, #Hobbies,Divertissement and Médias
62077254be09f310a873657b, #TransportIndustry #Deplacements,Transport ferroviaire
62077256be09f310a8736658, #FrenchCompanies,Orange S.A.
62077259be09f310a8736702, #FrenchCompanies,Société Générale
62077265be09f310a8736abb, #FrenchCompanies,La Poste
62077266be09f310a8736b42, #FrenchCompanies,Électricité de France
62077288be09f310a87373bd, #FrenchCompanies,Renault
6207728cbe09f310a87374af, #FrenchCompanies,Groupe BPCE
6207729bbe09f310a8737908, #FrenchCompanies,Auchan
620772a5be09f310a8737bbc, #FrenchCompanies,Danone
620772a6be09f310a8737beb, #FrenchCompanies,AXA
620772a9be09f310a8737cf6, #FrenchCompanies,Crédit Agricole
620772c2be09f310a87383e6, #PsaPeugeotCitroen #FrenchCompanies,Peugeot
620772c2be09f310a8738415, #FrenchCompanies,Veolia
620772c5be09f310a87384b6, #FrenchCompanies,Christian Dior
620772c6be09f310a87384e5, #FrenchCompanies,Schneider Electric
620772d7be09f310a87389ab, #FrenchCompanies,BNP Paribas
620772dbbe09f310a8738ae6, #FrenchCompanies,Engie
620772dfbe09f310a8738be7, #FrenchCompanies,Air Liquide
620772e1be09f310a8738c87, #FrenchCompanies,Global Switch
620772e4be09f310a8738d64, #Hobbies,Plongée
620772fbbe09f310a873912c, #Brand-andMarketing,Marque
6207741fbe09f310a873b182, #WingzyRole,Coach
620a53160e56b7002f78444a, #Outils,Google Sheet
620b82ec0e56b7002f7ec85e, #Skills,Mode
620bd7e10e56b7002f80e919,,Institutions
620d19636bc195002fad39d2, #Operations86854,Utilisation
