Action,ID,Parents,Families,Name FR,Name EN,Tag,Intro FR,Intro EN,Stats Person,Stats Question,Stats Hashtags,Created,Updated
"","5faf286ec12501001552eeb3","","","Compétences","Skills","#FramatomeSkills","Je peux t'aider pour","I can help you with",0,0,0,"Sat Nov 14 2020 00:44:30 GMT+0000 (Coordinated Universal Time)","Fri Feb 04 2022 12:00:47 GMT+0000 (Coordinated Universal Time)"
"","5faf286ec12501001552eeb4"," #DemoFramatomeSystems"," 630df55008e5da0050df4c37","REB","BWR","#BWR","Réacteur à eau bouillante","Boiling Water Reactor",1,0,0,"Sat Nov 14 2020 00:44:30 GMT+0000 (Coordinated Universal Time)","Mon Apr 18 2022 07:15:53 GMT+0000 (Coordinated Universal Time)"
"","5faf286ec12501001552eeb5"," #DemoFramatomeSystems"," 630df55008e5da0050df4c37","REP","PWR","#PWR","Réacteur à eau pressurisée","Pressurized Water Reactor",6,1,0,"Sat Nov 14 2020 00:44:30 GMT+0000 (Coordinated Universal Time)","Tue Sep 13 2022 10:37:04 GMT+0000 (Coordinated Universal Time)"
"","5faf286ec12501001552eeb6"," #PWR"," 630df55008e5da0050df4c37","EPR","EPR","#EPR",,,7,2,0,"Sat Nov 14 2020 00:44:30 GMT+0000 (Coordinated Universal Time)","Thu Oct 13 2022 13:36:32 GMT+0000 (Coordinated Universal Time)"
"","5faf286fc12501001552eec7"," #Hidden","","Projets","Projects","#FramatomeProjects","J'ai travaillé sur","I worked on",0,0,0,"Sat Nov 14 2020 00:44:31 GMT+0000 (Coordinated Universal Time)","Tue Nov 16 2021 00:01:50 GMT+0000 (Coordinated Universal Time)"
"","5faf286fc12501001552eec8"," #FramatomeProjects"," 630df47e08e5da0050de7a3c","Centrales nucléaires","Power Plants","#FramatomePowerPlants",,,3,0,0,"Sat Nov 14 2020 00:44:31 GMT+0000 (Coordinated Universal Time)","Tue Sep 06 2022 10:36:34 GMT+0000 (Coordinated Universal Time)"
"","5faf286fc12501001552eeca"," #FramatomePowerPlants"," 630df47e08e5da0050de7a3c","Flamanville","Flamanville","#Flamanville",,,10,1,0,"Sat Nov 14 2020 00:44:31 GMT+0000 (Coordinated Universal Time)","Mon Oct 24 2022 13:39:01 GMT+0000 (Coordinated Universal Time)"
"","5faf286fc12501001552eecb"," #Flamanville"," 630df47e08e5da0050de7a3c","Flamanville-1","Flamanville-1","#Flamanville1",,,5,0,0,"Sat Nov 14 2020 00:44:31 GMT+0000 (Coordinated Universal Time)","Tue Oct 04 2022 10:36:50 GMT+0000 (Coordinated Universal Time)"
"","5faf286fc12501001552eecc"," #Flamanville"," 630df47e08e5da0050de7a3c","Flamanville-2","Flamanville-2","#Flamanville2",,,3,0,0,"Sat Nov 14 2020 00:44:31 GMT+0000 (Coordinated Universal Time)","Tue Oct 04 2022 10:36:51 GMT+0000 (Coordinated Universal Time)"
"","5faf286fc12501001552eecd"," #Flamanville #EPR"," 630df47e08e5da0050de7a3c","Flamanville-3","Flamanville-3","#Flamanville3",,,5,0,0,"Sat Nov 14 2020 00:44:31 GMT+0000 (Coordinated Universal Time)","Thu Oct 13 2022 13:36:32 GMT+0000 (Coordinated Universal Time)"
"","5faf286fc12501001552eece"," #FramatomePowerPlants"," 630df47e08e5da0050de7a3c","Tricastin","Tricastin","#Tricastin",,,6,0,0,"Sat Nov 14 2020 00:44:31 GMT+0000 (Coordinated Universal Time)","Mon Jun 06 2022 14:42:49 GMT+0000 (Coordinated Universal Time)"
"","5faf286fc12501001552eecf"," #Tricastin"," 630df47e08e5da0050de7a3c","Tricastin-1","Tricastin-1","#Tricastin1",,,0,0,0,"Sat Nov 14 2020 00:44:31 GMT+0000 (Coordinated Universal Time)","Wed Feb 23 2022 15:01:58 GMT+0000 (Coordinated Universal Time)"
"","5faf286fc12501001552eed0"," #Tricastin"," 630df47e08e5da0050de7a3c","Tricastin-2","Tricastin-2","#Tricastin2",,,2,0,0,"Sat Nov 14 2020 00:44:31 GMT+0000 (Coordinated Universal Time)","Tue Dec 28 2021 00:01:38 GMT+0000 (Coordinated Universal Time)"
"","5faf286fc12501001552eed1"," #Tricastin"," 630df47e08e5da0050de7a3c","Tricastin-3","Tricastin-3","#Tricastin3",,,0,0,0,"Sat Nov 14 2020 00:44:31 GMT+0000 (Coordinated Universal Time)","Tue Dec 28 2021 00:01:39 GMT+0000 (Coordinated Universal Time)"
"","5faf286fc12501001552eed2"," #Tricastin"," 630df47e08e5da0050de7a3c","Tricastin-4","Tricastin-4","#Tricastin4",,,2,0,0,"Sat Nov 14 2020 00:44:31 GMT+0000 (Coordinated Universal Time)","Wed Feb 23 2022 15:01:58 GMT+0000 (Coordinated Universal Time)"
