Action,ID,Parents,Families,Name FR,Name EN,Tag,Intro FR,Intro EN,Stats Person,Stats Question,Stats Hashtags,Created,Updated
"","5d77c9c2c138b10015197407"," #Tech #TechnologicalPlateform #Platform #ProgressiveWebApp"," 630df43608e5da0050de3c94","Application web progressive","Progressive Web App","#ProgressiveWebApp","PWA - Notre application. ","PWA - Our app. ",2,2,0,"Tue Sep 10 2019 16:05:22 GMT+0000 (Coordinated Universal Time)","Tue Oct 18 2022 10:36:54 GMT+0000 (Coordinated Universal Time)"
"","5e7904bfa2596f0015d42fd4"," #WingzyRole"," 630dee2c08e5da0050d8009c","Board member","Board member","#BoardMember",,,4,0,0,"Mon Mar 23 2020 18:49:35 GMT+0000 (Coordinated Universal Time)","Tue Aug 30 2022 10:46:31 GMT+0000 (Coordinated Universal Time)"
"","5e790165a2596f0015d42fd2"," #Hidden"," 630dee2c08e5da0050d8009c","Rôles","Roles","#WingzyRole","Mes rôles dans l'aventure","My role in the adventure",1,1,0,"Mon Mar 23 2020 18:35:17 GMT+0000 (Coordinated Universal Time)","Sun Oct 16 2022 19:37:11 GMT+0000 (Coordinated Universal Time)"
"","5e7a0568a2596f0015d43050"," #FrenchCompanies"," 630df45b08e5da0050de5bc1","Amazon","Amazon","#Amazon",,,2,0,0,"Tue Mar 24 2020 13:04:40 GMT+0000 (Coordinated Universal Time)","Fri Feb 18 2022 15:06:32 GMT+0000 (Coordinated Universal Time)"
"","5e7a0565a2596f0015d4304f"," #FrenchCompanies"," 630df45b08e5da0050de5bc1","Sogeti","Sogeti","#Sogeti",,,2,0,0,"Tue Mar 24 2020 13:04:37 GMT+0000 (Coordinated Universal Time)","Tue Dec 07 2021 00:00:46 GMT+0000 (Coordinated Universal Time)"
"","5e7904bfa2596f0015d42fd5"," #WingzyRole"," 630dee2c08e5da0050d8009c","Full-time","Full-time","#FullTime",,,7,0,0,"Mon Mar 23 2020 18:49:35 GMT+0000 (Coordinated Universal Time)","Tue Aug 30 2022 10:46:31 GMT+0000 (Coordinated Universal Time)"
"","5e7904bfa2596f0015d42fd7"," #WingzyRole"," 630dee2c08e5da0050d8009c","Cofondateur","Cofounder","#Cofounder",,,5,0,0,"Mon Mar 23 2020 18:49:35 GMT+0000 (Coordinated Universal Time)","Sun Oct 16 2022 19:58:27 GMT+0000 (Coordinated Universal Time)"
"","5e7a0561a2596f0015d4304e"," #FrenchCompanies"," 630df45b08e5da0050de5bc1","Match Com","Match Com","#MatchCom",,,2,0,0,"Tue Mar 24 2020 13:04:33 GMT+0000 (Coordinated Universal Time)","Tue Dec 07 2021 00:00:47 GMT+0000 (Coordinated Universal Time)"
"","5e7904bfa2596f0015d42fd6"," #WingzyRole"," 630dee2c08e5da0050d8009c","Stagiaire","Intern","#Intern",,,5,1,0,"Mon Mar 23 2020 18:49:35 GMT+0000 (Coordinated Universal Time)","Tue Aug 30 2022 10:46:32 GMT+0000 (Coordinated Universal Time)"
"","5e79059ca2596f0015d42fd9"," #FrenchCompanies"," 630df45b08e5da0050de5bc1","Groupe ADP","ADP Groupe","#GroupeAdp",,,2,0,0,"Mon Mar 23 2020 18:53:16 GMT+0000 (Coordinated Universal Time)","Tue Dec 07 2021 00:00:48 GMT+0000 (Coordinated Universal Time)"
"","5e7a051fa2596f0015d4304c"," #WingzyRole"," 630dee2c08e5da0050d8009c","Full dev","Full dev","#FullStackDeveloper",,,9,1,0,"Tue Mar 24 2020 13:03:27 GMT+0000 (Coordinated Universal Time)","Mon Oct 17 2022 10:36:53 GMT+0000 (Coordinated Universal Time)"
"","5f1e95d9cb960400156dad8b"," #Brand-andMarketing #ProductLeadGrowth #ProductDesign #ProgressiveWebApp"," 630df43608e5da0050de3c94","Gamification","Gamification","#Gamification",,,2,0,0,"Mon Jul 27 2020 08:52:41 GMT+0000 (Coordinated Universal Time)","Tue Oct 18 2022 09:50:09 GMT+0000 (Coordinated Universal Time)"
"","5f1e9604cb960400156dad8c"," #FrenchCompanies"," 630df45b08e5da0050de5bc1","Ubisoft","Ubisoft","#Ubisoft",,,3,0,0,"Mon Jul 27 2020 08:53:24 GMT+0000 (Coordinated Universal Time)","Tue Aug 23 2022 13:35:21 GMT+0000 (Coordinated Universal Time)"
"","5f1e960dcb960400156dad8d"," #FrenchCompanies"," 630df45b08e5da0050de5bc1","Asobo Studio","Asobo Studio","#AsoboStudio",,,1,0,0,"Mon Jul 27 2020 08:53:33 GMT+0000 (Coordinated Universal Time)","Thu May 27 2021 13:20:12 GMT+0000 (Coordinated Universal Time)"
"","60af8b881f381600322628ac"," #WingzyRole"," 630dee2c08e5da0050d8009c","Actionnaire","Stakeholder","#Actionnaire",,,2,0,0,"Thu May 27 2021 12:07:36 GMT+0000 (Coordinated Universal Time)","Tue Aug 30 2022 10:46:33 GMT+0000 (Coordinated Universal Time)"
"","60af8d701f381600322628ae"," #WingzyRole"," 630dee2c08e5da0050d8009c","Prestataire","Service provider","#Prestataire",,,1,0,0,"Thu May 27 2021 12:15:44 GMT+0000 (Coordinated Universal Time)","Tue Aug 30 2022 10:46:33 GMT+0000 (Coordinated Universal Time)"
"","60af8e5a1f381600322628b0"," #WingzyRole"," 630dee2c08e5da0050d8009c","Apporteur d'affaires","Business provider","#ApporteurDaffaire",,,3,0,0,"Thu May 27 2021 12:19:38 GMT+0000 (Coordinated Universal Time)","Mon Oct 03 2022 13:35:41 GMT+0000 (Coordinated Universal Time)"
